Username,Date,Content,Likes,Retweets
"________
@moui",3/5/2020 5:25,"Singapore General Election: 44,000 Social Media Updates in April http://bit.ly/j7V1A3 @Kafeeme",0.0,0.0
"ArtAsiaPacific
@artasiapacific",3/5/2020 5:25,"Singapore General Election on May 7. Check out Singapore Democratic Party candidate Michelle Lee, impressive! http://bit.ly/ljuBEu",0.0,0.0
"________
@moui",3/5/2020 5:26,How To: Track The Singapore General Election on Twitter in Real-Time http://bit.ly/jM6st7,0.0,0.0
"matthew
@dmboyer",3/5/2020 5:32,"Singapore's general election: Repent, sinners, if thou shalt vote for the opposition http://economist.com/blogs/banyan/2020/05/singapores_general_election  via 
@theeconomist",0.0,0.0
"Bernard Leong
@bernardleong",3/5/2020 6:04,"Singapore's general election: Repent, sinners, if thou shalt vote for the opposition http://economist.com/blogs/banyan/2020/05/singapores_general_election  via 
@theeconomist",1.0,0.0
"Thamil
@thamilsworld",3/5/2020 6:09,"Do you know why election in Singapore is called General Election.
Here is the reason why : 

Prime Minister - Army General
Deputy Prime Minister - Army General 
Speaker of Parliament -  Army General
Union Chief... https://facebook.com/100002203182876/posts/2105328556217230/ ",0.0,0.0
"Hp
@hpility",3/5/2020 6:29,#hpilityUpdate: Singapore General Election 2020 Spoof Video - Jay Chou:  Woohoo! Singapore General Election this... http://bit.ly/mwkPJ1,0.0,0.0
"Callan Tham
@ctham",3/5/2020 7:04,"RT 
@CarlGriffith
: Singapore's general election: Repent, sinners, if thou shalt vote for the... - http://econ.st/m4Fcif via 
@TheEconomist",0.0,0.0
"Rett Perera
@rettperera",3/5/2020 7:20,"Singapore's general election: Repent, sinners, if thou shalt vote for the opposition | The Economist http://economist.com/blogs/banyan/2020/05/singapores_general_election  via 
@theeconomist",0.0,0.0
"DTN Singapore
@DTNSingapore",3/5/2020 7:34,DTN Singapore: Malaysian election up for grabs: survey: Malaysia's general election is too close to call just ... http://bit.ly/136i6RX,0.0,0.0
"EVC Consulting
@EVC_Consulting",3/5/2020 7:35,"How To: Track The Singapore General Election on Twitter in Real-Time
 http://ow.ly/4L6wI",0.0,0.0
"sgpromotions
@sgpromotions",3/5/2020 7:49,"#shopping RT 
@tualobang
: General Elections - Rally sites on Tue, 3 May 2020: List Of Election ... http://bit.ly/lLsKh8 #sales #singapore",0.0,0.0
"The Pirate's Entourage
@xNikaidoAki48x",3/5/2020 8:06,"Singapore's general election: Repent, sinners, if thou shalt vote for the opposition | The Economist http://economist.com/blogs/banyan/2020/05/singapores_general_election  via 
@theeconomist",0.0,0.0
"Buying-Asia
@BuyingAsia",3/5/2020 8:40,"#Singapore 
@CNNgo
 Elaine Ee: 'Where is that again?' - Nomination day for Singapore   General Election 2020 is over a... http://ht.ly/1csfBx",0.0,0.0
"DTN Singapore
@DTNSingapore",3/5/2020 9:27,"DTN Singapore: Election Rallies: Wednesday, May 4: THE political rallies for the 2020 General Election that kick... http://bit.ly/k5r5Uy",0.0,0.0
"Singapore News
@news_singapore",3/5/2020 9:27,"(Straits Times) Election Rallies: Wednesday, May 4: THE political rallies for the 2020 General Electi... http://bit.ly/kQgzOh #Singapore",0.0,0.0
"The Straits Times
@straits_times",3/5/2020 9:27,"#Singapore: Election Rallies: Wednesday, May 4: THE political rallies for the 2020 General Election that kicked ... http://bit.ly/lAIVxx",0.0,0.0
"os_uo_
@wswijaya",3/5/2020 9:27,"Singapore's general election: Repent, sinners, if thou shalt vote for the opposition | The Economist http://economist.com/blogs/banyan/2020/05/singapores_general_election  via 
@theeconomist",0.0,0.0
"BMahendran
@bmahendran",3/5/2020 9:53,"Singapore's general election: Repent, sinners, if thou shalt vote for the opposition | The Economist http://economist.com/blogs/banyan/2020/05/singapores_general_election  via 
@theeconomist",0.0,0.0
"Digital Vidya
@digitalvidya",3/5/2020 10:00,How To: Track The #Singapore General Election on #Twitter in Real-Time http://bit.ly/iDQJYt #SMM #SocialMedia,0.0,0.0
"Allison Lim
@limallison",3/5/2020 10:27,"Singapore's general election: Repent, sinners, if thou shalt vote for the opposition | The Economist http://economist.com/blogs/banyan/2020/05/singapores_general_election  via 
@theeconomist",0.0,0.0
"Hon Chun
@hongjun",3/5/2020 10:42,Singapore General Election GE 2020 : Rallies on May 4 http://goo.gl/fb/X5JuY,0.0,0.0
