Username,Date,Content,Likes,Retweets
"uhnnnjj
@wennzhuoo","8:36 PM · Jul 11, 2020",this #GE2020SG really showing a lot of singaporeans just taking things on a surface level without analysing. Act smart but still dumb af.,0.0,2 s
"ｲのズﾉｲﾑ のんﾶﾑ
@yourhakimi","8:31 PM · Jul 11, 2020",#GE2020SG showed us that some Singaporean’s don’t really care about the future and Singapore will be getting more expensive:(,0.0,0
"𝘾𝙖𝙥𝙩 𝙍𝙖𝙗𝙞𝙣𝙙𝙚𝙧 𝙎𝙞𝙣𝙜𝙝 77K
@captsingh","8:26 PM · Jul 11, 2020","#GE2020SG 
After the 10th July Singapore election results",0.0,1
"SPORE SCAPER
@SPORESCAPER","7:51 PM · Jul 11, 2020",".  Whether the opposition parties win or lose, your life is still up to you to make changes . We must remember we make our own changes . Your life is always in your own hands  .

#GE2020 #GE2020SG #COVID19 #COVID #voting #polls #life #Change",0.0,0
"Raveen Shahdadpuri
@ravshahdadpuri","6:53 PM · Jul 11, 2020",#majulahsingapura #hope #ge2020 #ge2020sg #colourblind @ Marine Parade https://instagram.com/p/CCf8hPNnhB7/?igshid=ax45urep85my…,0.0,0
"Sean Foo
@mrseanfoo","6:30 PM · Jul 11, 2020","The fact that Sengkang won shows Xiaxue is not much of an influencer after all. 

#GE2020SG",0.0,9 s
"TCB_GP
@TCB_GP","6:27 PM · Jul 11, 2020","#NowPlaying the iconic, landmark 1986 album TRUE BLUE by 
@Madonna
  #TrueBlue #PAPadontpreach #OpenYourHeart #LiveToTell 

True
blue
baby
I 
 love
you
@wpsg
 #WorkersParty 

#GE2020 #GE2020SG #SingaporeElection",0.0,2 s
"mohamed zubair
@zubeyr","3:48 PM · Jul 11, 2020","Congratulations 
@PAPSingapore
 @leehsienloong
 people have decided #GE2020SG.",0.0,0
"NPC016
@npc016","3:40 PM · Jul 11, 2020","Looking over last night's tweets and wow does Singapore really love acronyms. Our #GE2020SG is fought in GRCs or SMCs. Biggest fight was between PAP and WP. Others become NCMPs. If you voted against Dr TCB or CSJ, knnccb, you bloody lj. Hope you enjoy your ERP and 9% GST.",0.0,0
"Simar Ghangas
@SimarGhangas","3:37 PM · Jul 11, 2020","A good piece on the model-minority myth. Written from a Malay perspective but applies to all the minorities. PAP should heed some of the advice here       GE2020: ""Hello, I am not your model minority."" by 
@kixes
 https://wethecitizens.substack.com/p/ge2020-hello-i-am-not-your-model?utm_campaign=post&utm_medium=email&utm_source=twitter… #GE2020SG #SingaporeVotes",0.0,1
